priority,reason,subcategory,title,published,author,date,is_live,words,n_clinical,strong_terms,device_terms,clinical_terms,n_fp_clinical,fp_clinical_sample,n_first_person,screened,n_third_party,n_claim,first_person_sample,third_party_sample,claim_sample,file
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",travel,The Island That Saved Our Family Holiday,true,Sigourney Cantelo,2026-06-30,True,2316,0,,,,0,,15,,0,2,"Three days into our first family trip to Bali, I am standing in a lane in Canggu watching my ten-year-old attempt to smuggle a street dog into our villa.",,"Lulu, who treats anything unfamiliar on a plate with deep suspicion, tastes the chicken.",content/destinations/travel/nusa-lembongan/nusa-lembongan.mdx
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",travel,Is Sanur Bali's Best-Kept Secret? And Where to Stay,true,Sigourney Cantelo,2026-07-21,True,2318,0,,,,0,,14,,0,0,By day three I was ready for a slower pace.,,,content/destinations/travel/sanur-bali-hotel-review/sanur-bali-hotel-review.mdx
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",travel,The Exact Products a Beauty Editor Packs for Europe,true,Zoe Briggs,2025-03-28,True,1253,0,,,,0,,14,,0,2,"Being the obsessive beauty editor I am, I spent months whittling down which products would make the cut.",,Behold – a list of some of the very best hair and makeup items that got me through all of that wonderful travel in style.,content/destinations/travel/the-exact-products-a-beauty-editor-packs-for-europe/the-exact-products-a-beauty-editor-packs-for-europe.mdx
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",travel,Skincare Mecca: Why You Need to Visit Korea’s Skincare Streets,true,Libby Moffet,2019-03-26,True,1475,0,,,,0,,13,,0,1,"But believe me, for the skincare devotee the shopping experience is far sweeter than anything a giant M&M store can deliver._

 

<Caption>Camille Tries to Blog</Caption>

K-Beauty",,"After a warming cup of jujube ginseng tea and some delicious treats, I head into the night to meet up with my family, who comment on my dewy face.",content/destinations/travel/skincare-mecca-why-you-need-to-visit-myeongdong/skincare-mecca-why-you-need-to-visit-myeongdong.mdx
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",clinics,"Bare Beauty House, Manly",true,Sigourney Cantelo,2026-01-15,True,575,0,,,,0,,11,,0,1,"Sustainable Products and Flawless Nails

Since moving to the Northern Beaches in 2020, I've become quite the regular at Bare.",,"Salt Scrub and Massage Bliss

Today I'm here for a colour touch up and cut and a scrub/massage which I've scheduled for myself as a little mid-winter treat.",content/destinations/clinics/bare-beauty-house-manly/bare-beauty-house-manly.mdx
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",travel,Wolgan Valley Resort & Spa Review,true,Sigourney Cantelo,2014-08-12,True,923,0,,,,0,,11,,0,0,I had been anticipating this for weeks.,,,content/destinations/travel/sigourneys-edit-wolgan-valley/sigourneys-edit-wolgan-valley.mdx
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",spas-retreats,"Crown Spa, Melbourne",true,Beauticate Editorial,2026-01-15,True,705,0,,,,0,,10,,0,2,"Once I've made my way to level three, there is a welcome change of pace.",,"The Private Indulgence Suite

I'm thrilled when I'm welcomed by my therapist Sally, I've had facials with her a few times over the last ten years (she's been at the spa for fifteen",content/destinations/spas-retreats/crown-spa-melbourne/crown-spa-melbourne.mdx
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",travel,My New Zealand Beauty Haul,true,Sigourney Cantelo,2019-11-26,True,1189,0,,,,0,,10,,0,1,I am keen to see what the OTHER K Beauty is like.,,"On the table is a plate of incredible treats, a handwritten note and a bottle of Mumm champagne in an ice bucket.",content/destinations/travel/my-new-zealand-beauty-haul/my-new-zealand-beauty-haul.mdx
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",clinics,"Djurra Lifestyle Salon and Spa, Fremantle",true,Lucy Searle,2026-01-15,True,727,0,,,,0,,9,,0,1,"Setting the Tone for Each Guest

I arrive for my blow dry and, like any hair salon on a Saturday afternoon, the place is buzzing.",,"At the end of my blow dry, I'm invited into the makeup chair for a little touch up with the beautiful Aveda mineral makeup, a little treat offered to all guests at Djurra.",content/destinations/clinics/djurra-salon-freemantle/djurra-salon-freemantle.mdx
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",clinics,"Mineral Lifestyle Hair Spa, Paddington",true,Isabella Ousby,2026-01-15,True,644,0,,,,0,,9,,0,0,"Aveda Spa Facial and Foot Scrub

Upon arrival I am offered a glass of Aveda tea; a refreshing mix of licorice root and peppermint, which I sip while filling out a chart of my skin’",,,content/destinations/clinics/mineral-lifestyle-hair-spa-paddington/mineral-lifestyle-hair-spa-paddington.mdx
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",spas-retreats,"Chi Spa, Shangri La Hotel, Sydney",true,Sigourney Cantelo,2026-01-15,True,638,0,,,,0,,9,,0,1,I’m led to a little relaxation nook around the corner to fill out my treatment card.,,"The ultimate treat at Chi Spa is a massage

> _Review by Sigourney Cantelo_",content/destinations/spas-retreats/chi-spa-shangri-la-hotel-sydney/chi-spa-shangri-la-hotel-sydney.mdx
P4,"First-person or relayed account, no clinical service detected — check for therapeutic goods",travel,The Bali Resort That Solves the Family Holiday Dilemma,true,Sigourney Cantelo,2026-06-21,True,2128,0,,,,0,,9,,0,1,"<Portrait src=""/content/destinations/travel/paradisus-bali-melia-review/canang-sari.jpg"" alt=""Canang sari flower offering being made by hand at Paradisus Bali welcome ceremony"" sid",,Paradisus won't fix your life.,content/destinations/travel/paradisus-bali-melia-review/paradisus-bali-melia-review.mdx
