Priority,Article Title,URL,Type,Author (Claude),FAQ (Claude),Meta (Claude),Schema (Claude),Images render & placed,Products wired (swap sheet),Video added (URL/NA),Needs fresh copy?,Visual sign-off (initials),Notes (incl. any floating URLs)
,The Best Italian Hair Products And Secrets You Need To Know,/beauty-style/hair/the-best-italian-hair-products-and-secrets-you-need-to-know,SWAP-FRIENDLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,The Exact Products Melanie Grant Uses To Look Flawless,/interviews/founders/the-exact-products-melanie-grant-uses-to-look-flawless,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,"I tried a new DIY micro-infusion device, here’s what I thought…",/beauty-style/skin-care/i-tried-a-new-diy-microstamping-device-heres-what-i-thought,LINK ONLY,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Adaptive Makeup Tools for Enhanced Accessibility,/beauty-style/beauty-tips/the-makeup-tools-for-people-with-disabilities,CASE BY CASE,Beauticate Editorial,Yes,Written,Auto,,,,,,
,The Top 5 French Hair Secrets From Those in the Know,/beauty-style/beauty-tips/5-french-hair-secrets-for-effortlessly-cool-hair,SWAP-FRIENDLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,"Farrah Fawcett, Actress",/interviews/actors-presenters/farrah-fawcett-actress,LINK ONLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,Olaplex Review: Is It Worth The Hype?,/beauty-style/hair/olaplex-review-is-it-worth-the-hype,LINK ONLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,"Dina Broadhurst, Artist",/interviews/creatives/dina-broadhurst-artist,LINK ONLY,Beauticate Editorial,Yes,Written,Auto,,,,,,
,"Abbey Gelmi, The Sports Reporter Making Her Thirties All About Finding Balance",/interviews/actors-presenters/abbey-gelmi-the-sports-reporter-making-her-thirties-all-about-finding-balance,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,I’ve Got Fine But Frizzy Hair and This Is Exactly What I Use To Look After It,/beauty-style/hair/ive-got-fine-but-frizzy-hair-and-this-is-exactly-what-i-use-to-look-after-it,LINK ONLY,Tess Schlink,Yes,Written,Auto,,,,,,
,Chic Sunscreens & Sun Hats for Everyday Protection,/beauty-style/skin-care/chic-sunscreens-hats,CASE BY CASE,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Rose-Marie Swift’s 10 Beauty Rules For Older Skin,/beauty-style/beauty-tips/rose-marie-swifts-10-beauty-rules-for-older-skin,CASE BY CASE,Zoe Briggs,Yes,Written,Auto,,,,,,
,Three Of The Best Wisteria Scents,/beauty-style/beauty-tips/three-of-the-best-wisteria-scents,SWAP-FRIENDLY,Rosalind Thomas,Yes,Written,Auto,,,,,,
,"Rae Morris on Beauty, Mistakes and a Career Made by Chance",/interviews/creatives/rae-morris-interview,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,The Best Italian Pharmacy Buys (You Can Find Online).,/beauty-style/beauty-tips/the-best-italian-pharmacy-buys-you-can-buy-online,SWAP-FRIENDLY,Claudia De Berardinis,Yes,Written,Auto,,,,,,
,"Alyce Tran, The Entrepreneur Who Will Persuade You To Bring Colour Into Your Home",/interviews/founders/alyce-tran-the-entrepreneur-who-will-persuade-you-to-bring-colour-into-your-home,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Système Bio+ Oil Serum Review: Real Reader Results,/beauty-style/skin-care/systeme-bio-plus-oil-serum-review,LINK ONLY,Sigourney Cantelo,Yes,Written,Auto,,,,,,
,Darren Palmer & Olivier Duvillard,/interviews/creatives/darren-palmer-interiors-designer-and-olivier-duvillard,LINK ONLY,Rikki Hodge-Smith,Yes,Written,Auto,,,,,,
,Grace Kelly,/interviews/actors-presenters/grace-kelly-princess-and-actress,LINK ONLY,Rikki Hodge-Smith,Yes,Written,Auto,,,,,,
,Honest Review: Luxury Skincare Products Worth The Price Tag,/reviews/luxury-skincare-review,LINK ONLY,Kristina Zhou,Yes,Written,Auto,,,,,,
,Cher From Clueless Hair: The Ultimate Cher Horowitz Hair Tutorial,/beauty-style/hair/cher-from-clueless-hair-the-ultimate-cher-horowitz-hair-tutorial,CASE BY CASE,Tess Schlink,Yes,Written,Auto,,,,,,
,"Nathalie Kelley, The Actress Finding Her Purpose Outside of Hollywood",/interviews/actors-presenters/nathalie-kelley-the-actress-finding-her-purpose-outside-of-hollywood,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,I Got an Under-eye Concealer Tattoo!,/beauty-style/beauty-tips/i-got-an-under-eye-concealer-tattoo,CASE BY CASE,Kristina Zhou,Yes,Written,Auto,,,,,,
,"Riley Minford, The Trans Model Owning Her Beauty",/interviews/tastemakers/riley-minford-the-trans-model-owning-her-beauty,LINK ONLY,Zoe Briggs,Yes,Written,Auto,,,,,,
,Permanent Cheek Blush Tattoo: Everything You Need To Know,/beauty-style/beauty-tips/cheek-blush-tattoo,CASE BY CASE,Kristina Zhou,Yes,Written,Auto,,,,,,
