Article,Line,Type,Suggested action,Snippet
wellness/health/drastically-reduce-your-chances-of-developing-dementia/drastically-reduce-your-chances-of-developing-dementia.mdx,89,RUN-INTO-WORD,URL concatenated to following text (e.g. .../salonReview). Split and link,"*Sources: *https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3385995/, https://www.aan.com/PressRoom/Home/PressRelease/1634, "
wellness/mindset/lola-berry-on-ivf-trauma-cancel-culture-finding-peace-after-heartbreak/lola-berry-on-ivf-trauma-cancel-culture-finding-peace-after-heartbreak.mdx,58,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,Instagram: ⁠⁠https://www.instagram.com/sigourneycantelo/
wellness/mindset/lola-berry-on-ivf-trauma-cancel-culture-finding-peace-after-heartbreak/lola-berry-on-ivf-trauma-cancel-culture-finding-peace-after-heartbreak.mdx,60,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,⁠⁠TikTok⁠⁠: https://www.tiktok.com/@sigourneycantelo?lang=en
wellness/mindset/lola-berry-on-ivf-trauma-cancel-culture-finding-peace-after-heartbreak/lola-berry-on-ivf-trauma-cancel-culture-finding-peace-after-heartbreak.mdx,64,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,Instagram:⁠⁠ https://www.instagram.com/beauticate/
wellness/mindset/i-thought-i-wasnt-enough-terri-vinson-jones-on-body-image-anxiety-and-self-worth/i-thought-i-wasnt-enough-terri-vinson-jones-on-body-image-anxiety-and-self-worth.mdx,58,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,Instagram: ⁠⁠https://www.instagram.com/sigourneycantelo/
wellness/mindset/i-thought-i-wasnt-enough-terri-vinson-jones-on-body-image-anxiety-and-self-worth/i-thought-i-wasnt-enough-terri-vinson-jones-on-body-image-anxiety-and-self-worth.mdx,60,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,⁠⁠TikTok⁠⁠: https://www.tiktok.com/@sigourneycantelo?lang=en
wellness/mindset/i-thought-i-wasnt-enough-terri-vinson-jones-on-body-image-anxiety-and-self-worth/i-thought-i-wasnt-enough-terri-vinson-jones-on-body-image-anxiety-and-self-worth.mdx,64,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,Instagram:⁠⁠ https://www.instagram.com/beauticate/
wellness/fitness/how-i-stay-fit-with-rebecca-judd/how-i-stay-fit-with-rebecca-judd.mdx,37,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,The secret to getting the most out of your workout in the least amount of time? High Intensity Interval Training (H.I.I.
destinations/spas-retreats/the-go-tos-bells-at-killcare-day-spa-nsw/the-go-tos-bells-at-killcare-day-spa-nsw.mdx,68,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,https://www.bellsatkillcare.com.au
destinations/clinics/franck-provost-barangaroo-nsw/franck-provost-barangaroo-nsw.mdx,44,RUN-INTO-WORD,URL concatenated to following text (e.g. .../salonReview). Split and link,https://www.franckprovost.com.au/salon-5153/hairdresser/3-sussex-street-2000-barangarooReview by [Sigourney Cantelo](htt
destinations/travel/jocelyn-petroni-woollahra/jocelyn-petroni-woollahra.mdx,46,RUN-INTO-WORD,URL concatenated to following text (e.g. .../salonReview). Split and link,http://www.jocelynpetroni.com/Photography by Blake Heywood; Hair & Makeup by Jessica Diez
destinations/travel/escape-here-the-south-coast-sanctuary-for-self-care/escape-here-the-south-coast-sanctuary-for-self-care.mdx,67,RUN-INTO-WORD,URL concatenated to following text (e.g. .../salonReview). Split and link,"My eyes are drawn again to the epic garden outside as the sunlight slips away. If nothing else, this year has given us p"
beauty-style/beauty-tips/how-to-use-diy-cellulite-cup-to-decrease-cellulite/how-to-use-diy-cellulite-cup-to-decrease-cellulite.mdx,72,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,[ANTI CELLULITE VACUUM CUP SET [2-PACK]](https://www.amazon.com/Anti-Cellulite-Vacuum-Cup-2-pack/dp/B074QCC7RY)
beauty-style/beauty-tips/kat-von-d-begs-insta-followers-to-choose-cruelty-free-makeup/kat-von-d-begs-insta-followers-to-choose-cruelty-free-makeup.mdx,88,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,"[$236,000.00!!! That’s how much @katvondbeauty was able to raise+donate to @ProjectChimps thanks to all of you who purch"
beauty-style/beauty-tips/how-to-use-diy-cellulite-cup-to-decrease-cellulite-2/how-to-use-diy-cellulite-cup-to-decrease-cellulite-2.mdx,72,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,[ANTI CELLULITE VACUUM CUP SET [2-PACK]](https://www.amazon.com/Anti-Cellulite-Vacuum-Cup-2-pack/dp/B074QCC7RY)
beauty-style/beauty-tips/how-to-kate-middletons-beauty-secrets/how-to-kate-middletons-beauty-secrets.mdx,78,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,For enquiries visit or contact the Lancôme counter at your local department or head to http://www.lancome.com.au/.
beauty-style/skin-care/how-to-bio-hack-your-skin-routine/how-to-bio-hack-your-skin-routine.mdx,55,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,"2. Kim, D.-U., Chung, H.-C., Choi, J., Sakai, Y., & Lee, B.-Y. (2018). Oral intake of low-molecular-weight collagen pept"
beauty-style/skin-care/how-to-bio-hack-your-skin-routine/how-to-bio-hack-your-skin-routine.mdx,57,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,"3. Kim, D.-U., Chung, H.-C., Choi, J., Sakai, Y., & Lee, B.-Y. (2018). Oral intake of low-molecular-weight collagen pept"
beauty-style/skin-care/why-just-going-outside-could-make-your-skin-sensitive-and-now-theres-an-app-for-that/why-just-going-outside-could-make-your-skin-sensitive-and-now-theres-an-app-for-that.mdx,38,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,The good news is that understanding its causes and learning to manage it with the right products can play a big part in 
beauty-style/hair/the-hair-dye-for-sensitive-scalps/the-hair-dye-for-sensitive-scalps.mdx,49,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,"Wella Professionals KP Innosense is available at Wella salons nationwide, talk to your colourist for more information or"
beauty-style/hair/nine-new-season-trends-youll-actually-want-to-try/nine-new-season-trends-youll-actually-want-to-try.mdx,118,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,"*Story by Sigourney. Sponsored by Westfield.*For more inspiration, head along to Westfield’s Festival of Beauty, which i"
beauty-style/hair/short-hairstyle-tutorials-were-following-instagram/short-hairstyle-tutorials-were-following-instagram.mdx,38,RUN-INTO-WORD,URL concatenated to following text (e.g. .../salonReview). Split and link,"Pixie by hair, pixie by nature – Sarah calls herself ‘mermaid at heart, but a pixie in real life’ – she’s got the most a"
